example_id                                                                                 | status | run_time        |
./spec/models/spree/payment_decorator_spec.rb[1:9:4:1]                                     | passed | 1.42 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:9:4:2]                                     | passed | 1.53 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:9:5:1:1]                                   | passed | 0.72957 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:9:5:2:1]                                   | passed | 0.65474 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:9:6:1:1]                                   | passed | 0.67675 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:9:6:2:1]                                   | passed | 0.95305 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:9:6:3:1]                                   | passed | 0.87755 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:9:7:1:1]                                   | passed | 0.78647 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:9:7:2:1]                                   | passed | 0.68775 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:1:1]                           | passed | 0.64812 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:2:1:1]                         | passed | 0.67042 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:2:2:1]                         | passed | 0.83308 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:3:1]                           | passed | 0.9102 seconds  |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:3:2]                           | passed | 0.85733 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:4:1]                           | passed | 0.78426 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:4:2]                           | passed | 0.77672 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:5:1]                           | passed | 1.09 seconds    |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:5:2]                           | passed | 1.64 seconds    |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:5:3]                           | passed | 0.88064 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:5:4]                           | passed | 0.87055 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:6:1:1]                         | passed | 0.83334 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:6:2:1]                         | passed | 0.68786 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:7:1]                           | passed | 0.67194 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:7:2]                           | passed | 0.82691 seconds |
./spec/models/spree/payment_method/loyalty_points_spec.rb[1:8:1]                           | passed | 0.80126 seconds |
./spec/models/spree/payment_method_decorator_spec.rb[1:1:1]                                | failed | 0.0083 seconds  |
./spec/models/spree/payment_method_decorator_spec.rb[1:2:1:1]                              | failed | 0.00991 seconds |
./spec/models/spree/payment_method_decorator_spec.rb[1:2:2:1]                              | failed | 0.0102 seconds  |
./spec/models/spree/return_authorization_decorator_spec.rb[1:1:1]                          | failed | 0.48775 seconds |
